ime,ocena,naslov
AleSmith Double IPA,3.9,/beer/alesmith-double-ipa/2497/210986/
Cigar City Jai Alai India Pale Ale,4.1,/beer/cigar-city-jai-alai-india-pale-ale/95103/7941/
Fuller\xc2\x92s 1845,4.7,/beer/fullers-1845/294/424604/
Deschutes Black Butte XXVIII,4.0,/beer/deschutes-black-butte-xxviii/432428/59428/
The Kernel Export Stout London 1890,4.2,/beer/the-kernel-export-stout-london-1890/126190/415330/
The Bruery Melange #14,4.4,/beer/the-bruery-melange-14/425053/77551/
Jack\xc2\x92s Abby Copper Legend,3.6,/beer/jacks-abby-copper-legend/182391/24183/
Rodenbach Caract\xc3\xa8re Rouge,4.3,/beer/rodenbach-caractere-rouge/158126/54417/
Peak Organic Super Fresh,4.0,/beer/peak-organic-super-fresh/357191/48110/
New Belgium La Folie,3.7,/beer/new-belgium-la-folie/10513/243454/
Founders Breakfast Stout,4.0,/beer/founders-breakfast-stout/14956/381941/
Stone Go To IPA,3.3,/beer/stone-go-to-ipa/253833/30799/
Schneider Weisse Aventinus,4.0,/beer/schneider-weisse-aventinus/2224/413229/
Franziskaner Hefe-Weissbier / Weissbier Naturtrub,4.2,/beer/franziskaner-hefe-weissbier--weissbier-naturtrub/1088/370486/
Prairie Apple Brandy Barrel Noir,4.4,/beer/prairie-apple-brandy-barrel-noir/311784/361625/
Stone Bastard\xc2\x92s Midnight Brunch,4.7,/beer/stone-bastards-midnight-brunch/414489/6661/
Stiegl Radler Grapefruit,3.2,/beer/stiegl-radler-grapefruit/105438/324362/
Bell\xc2\x92s Two Hearted Ale,4.3,/beer/bells-two-hearted-ale/1502/316360/
Ballast Point Dead Ringer Oktoberfest,3.5,/beer/ballast-point-dead-ringer-oktoberfest/278843/70263/
40ft Larger,3.8,/beer/40ft-larger/337533/36509/
Cellarmaker Neon Nights ,4.0,/beer/cellarmaker-neon-nights/393887/127991/
Karbach Krunkin Pumpkin,3.7,/beer/karbach-krunkin-pumpkin/188324/68527/
Fuller\xc2\x92s Vintage Ale 2013,3.8,/beer/fullers-vintage-ale-2013/223320/17613/
The Bruery Poterie,4.3,/beer/the-bruery-poterie/172506/280235/
Allagash Avanc\xc3\xa9,4.1,/beer/allagash-avance/69525/115950/
De Dolle Stille Nacht Special Reserva 2005,3.3,/beer/de-dolle-stille-nacht-special-reserva-2005/59477/142513/
La Rulles Estivale,3.9,/beer/la-rulles-estivale/48719/385070/
Arrogant Bastard Ale,4.1,/beer/arrogant-bastard-ale/1315/130903/
Lost Abbey Red Poppy Ale,4.1,/beer/lost-abbey-red-poppy-ale/77393/115950/
Jolly Pumpkin Oro de Calabaza,3.6,/beer/jolly-pumpkin-oro-de-calabaza/36703/79214/
Anchor Porter,3.8,/beer/anchor-porter/48/128160/
Russian River Toronado 25th Anniversary,3.9,/beer/russian-river-toronado-25th-anniversary/181895/79214/
De Garde Imperial Boysenberry &#40;Boysen&#41; Bu,4.3,/beer/de-garde-imperial-boysenberry-boysen-bu/245684/79214/
Beachwood Amalgamator,4.1,/beer/beachwood-amalgamator/198910/100269/
Firestone Walker 18 &#40;XVIII Eighteenth Anniversary Ale&#41; ,4.1,/beer/firestone-walker-18-xviii-eighteenth-anniversary-ale/298767/79214/
Buxton Extra Porter,4.1,/beer/buxton-extra-porter/409056/232269/
The Kernel Pale Ale Citra Centennial,3.3,/beer/the-kernel-pale-ale-citra-centennial/162431/79214/
Evil Twin Imperial Biscotti Break,4.2,/beer/evil-twin-imperial-biscotti-break/168309/79214/
Bell\xc2\x92s Hopslam,3.4,/beer/bells-hopslam/35488/79214/
Hill Farmstead Susan,3.7,/beer/hill-farmstead-susan/191994/115950/
Hill Farmstead Damon,4.5,/beer/hill-farmstead-damon/142050/158283/
Hill Farmstead Self-Reliance #1,4.4,/beer/hill-farmstead-self-reliance-1/427873/115950/
Hill Farmstead George,4.1,/beer/hill-farmstead-george/156903/115950/
Hill Farmstead Song of Joy,4.4,/beer/hill-farmstead-song-of-joy/356536/115950/
Westbrook Mexican Cake Imperial Stout - Double Barrel,4.7,/beer/westbrook-mexican-cake-imperial-stout--double-barrel/288520/158283/
Schneider Weisse Aventinus,4.2,/beer/schneider-weisse-aventinus/2224/401339/
Stone IPA &#40;India Pale Ale&#41;,3.0,/beer/stone-ipa-india-pale-ale/422/367775/
Sierra Nevada Kellerweis Hefeweizen,3.6,/beer/sierra-nevada-kellerweis-hefeweizen/100383/325955/
Welde Bourbon Barrel Bock,3.0,/beer/welde-bourbon-barrel-bock/320155/81835/
Jack\xc2\x92s Abby Excess IPL,3.6,/beer/jacks-abby-excess-ipl/329280/108035/
Paulaner Hefe-Weissbier &#40;Hefe-Weizen&#41; &#40;5.5%&#41;,4.4,/beer/paulaner-hefe-weissbier-hefe-weizen-55/647/431241/
Ballast Point Sculpin IPA,4.5,/beer/ballast-point-sculpin-ipa/50008/431241/
Columbus Bodhi,3.7,/beer/columbus-bodhi/110184/158283/
Schneider Weisse Tap 5 Meine Hopfen-Weisse,4.5,/beer/schneider-weisse-tap-5-meine-hopfen-weisse/75466/431241/
AleSmith IPA,3.7,/beer/alesmith-ipa/14396/323716/
WeldWerks Juicy Bits,4.0,/beer/weldwerks-juicy-bits/405202/108216/
Victory Prima Pils,3.5,/beer/victory-prima-pils/619/117914/
Pyraser Hopfenpfl\xc3\xbccker Pils,3.4,/beer/pyraser-hopfenpflucker-pils/55080/366007/
Siren Vermont Tea Party,3.1,/beer/siren-vermont-tea-party/407686/81782/
Hill Farmstead Aaron,4.5,/beer/hill-farmstead-aaron/284884/132930/
The Livery Bourbon Barrel Aged Wheat Trippelbock,4.2,/beer/the-livery-bourbon-barrel-aged-wheat-trippelbock/49981/132930/
Lost Abbey Box Set: Track #10 &#40;Bat out of Hell&#41;,4.6,/beer/lost-abbey-box-set-track-10-bat-out-of-hell/160461/325955/
Buxton Imperial Black,4.1,/beer/buxton-imperial-black/161898/427319/
Hoppin\xc2\x92 Frog Tower Tuesday: Infusion A - Coffee Porter,4.4,/beer/hoppin-frog-tower-tuesday-infusion-a--coffee-porter/261765/268700/
Alchemist Focal Banger,4.3,/beer/alchemist-focal-banger/100846/325955/
Andechser Weissbier Dunkel,3.4,/beer/andechser-weissbier-dunkel/6003/427319/
Maine Beer Lunch,3.7,/beer/maine-beer-lunch/145241/268700/
Three Floyds Wigsplitter,3.6,/beer/three-floyds-wigsplitter/342218/18419/
Almanac Saison de Brettaville,4.0,/beer/almanac-saison-de-brettaville/364123/49415/
Stillwater Gose Gone Wild - Phuket,4.0,/beer/stillwater-gose-gone-wild--phuket/430324/42530/
Magic Rock / Fork & Brewer The Upside Down,3.6,/beer/magic-rock--fork-brewer-the-upside-down/450866/42530/
Siren / Cigar City Caribbean Chocolate Cake &#40;Barrel Aged&#41;,3.8,/beer/siren--cigar-city-caribbean-chocolate-cake-barrel-aged/419051/42530/
Siren Liquid Mistress,3.6,/beer/siren-liquid-mistress/204310/303676/
Mikkeller San Diego California Dream,3.3,/beer/mikkeller-san-diego-california-dream/414045/2862/
Unibroue La Fin du Monde,4.0,/beer/unibroue-la-fin-du-monde/1094/95853/
BAD Comfortably Numb,3.3,/beer/bad-comfortably-numb/292344/262336/
Beavertown / Boneyard Bloody Notorious,3.6,/beer/beavertown--boneyard-bloody-notorious/426167/30799/
Rogue Farms Fresh Roast Ale,3.5,/beer/rogue-farms-fresh-roast-ale/214272/41169/
Bell\xc2\x92s Roundhouse IRA,3.8,/beer/bells-roundhouse-ira/99505/221467/
Fremont Field to Ferment - Citra,4.1,/beer/fremont-field-to-ferment--citra/452745/247503/
New Glarus Moon Man No Coast Pale Ale,3.8,/beer/new-glarus-moon-man-no-coast-pale-ale/118767/95615/
Superstition Marion Mead - Still,4.0,/beer/superstition-marion-mead--still/211340/31748/
Lagunitas NightTime Ale,4.0,/beer/lagunitas-nighttime-ale/262801/20237/
Other Half Mosaic,4.2,/beer/other-half-mosaic/332700/338561/
Peekskill Amazeballs,3.6,/beer/peekskill-amazeballs/185129/108216/
Driftwood Fat Tug IPA,3.8,/beer/driftwood-fat-tug-ipa/133091/59442/
Indeed Dandy Lager,3.6,/beer/indeed-dandy-lager/333675/358922/
Sweetwater Hash Brown,3.8,/beer/sweetwater-hash-brown/356281/321344/
Indeed Dandy Lager,3.9,/beer/indeed-dandy-lager/333675/54824/
Saugatuck Barrel Aged Neapolitan Milk Stout,3.9,/beer/saugatuck-barrel-aged-neapolitan-milk-stout/253614/408414/
Monkish Haiku De Saison,3.6,/beer/monkish-haiku-de-saison/368328/129822/
Pilsner Urquell Nefiltrovan\xc3\xbd,4.3,/beer/pilsner-urquell-nefiltrovany/44956/86560/
