ime,ocena,naslov
Cycle / 3 Sons Rare Scooop,4.4,/beer/cycle--3-sons-rare-scooop/420014/173938/
Zero Gravity Vienna Lager,3.7,/beer/zero-gravity-vienna-lager/57018/233969/
Arrogant Double Bastard Ale in the Rye,4.0,/beer/arrogant-double-bastard-ale-in-the-rye/371904/89413/
Cycle / 3 Sons Rare Scooop,4.7,/beer/cycle--3-sons-rare-scooop/420014/285421/
Dogfish Head Palo Santo Marron,3.4,/beer/dogfish-head-palo-santo-marron/66797/121719/
Dogfish Head 75 Minute IPA &#40;Cask/Bottle&#41;,2.9,/beer/dogfish-head-75-minute-ipa-cask-bottle/101034/121719/
St-Feuillien Triple,3.8,/beer/st-feuillien-triple/2406/414030/
Dogfish Head 60 Minute IPA,2.7,/beer/dogfish-head-60-minute-ipa/7431/121719/
Weihenstephaner Korbinian,4.0,/beer/weihenstephaner-korbinian/7823/367177/
Stone Stochasticity Project Grainiac,5.0,/beer/stone-stochasticity-project-grainiac/374677/424105/
Chimay Bleue &#40;Blue&#41; / Grande R\xc3\xa9serve,4.6,/beer/chimay-bleue-blue--grande-reserve/53/430635/
Aecht Schlenkerla Fastenbier,3.6,/beer/aecht-schlenkerla-fastenbier/43277/328122/
Dogfish Head My Antonia,2.9,/beer/dogfish-head-my-antonia/116033/121719/
Beavertown / Boneyard Bloody Notorious,3.9,/beer/beavertown--boneyard-bloody-notorious/426167/377343/
Narragansett Del\xc2\x92s Shandy,3.0,/beer/narragansett-dels-shandy/265556/104742/
Alchemist Broken Spoke &#40;2016-&#41;,3.9,/beer/alchemist-broken-spoke-2016-/454158/112983/
Central Waters Ardea Insignis Imperial Stout,4.6,/beer/central-waters-ardea-insignis-imperial-stout/419849/132360/
Central Waters Ardea Insignis Imperial Stout,4.6,/beer/central-waters-ardea-insignis-imperial-stout/419849/105312/
